Liste indicateur Airbus,2022,2021,2020,2019
Actifs Circulants (ou Actifs Courants),63002,55694,58400,56723
BFR,N/A,N/A,N/A,N/A
Capitaux propre,12982,9486,6456,5990
Créance Client,4953,4957,5132,5674
Créance Douteuse,N/A,N/A,N/A,N/A
Dette,102962,97561,103639,108419
Dette CT (Dette Court Terme),52595,47807,51605,62374
Dette Fournisseur,13261,9693,8722,14808
Dette Long/Moyen Terme,14585,17016,16862,8189
Dette Nette,-8314,-4759,-2301,-13895
Emplois Stables (Actifs LT),52942,51353,51695,57686
FR,N/A,N/A,N/A,N/A
Provision,N/A,N/A,N/A,N/A
Ressources circulants (ou Courants),52595,47807,51605,62374
Ressources Stables (Passifs LT),50367,49754,52034,46045
Stock,32202,28539,30401,31550
Total Bilan,115944,107047,110095,114409
Trésorerie net,25664,24330,22176,24043
Excédent Brut d'exploitation (EBE),7907,7627,2282,3967
Bénéfice Avant Intérêts et Impôts (EBIT),5191,5302,-549,1040
Bénéfice Avant Intérêts, Impôts, Dépréciation et Amortissement (EBITDA),7907,7627,2282,3967
Capacité d'Autofinancement (CAF),7195,6784,1969,1676
Charges Financières,232,246,271,111
Chiffre d'Affaires (CA),58763,52149,49912,70478
Chiffre d'Affaires à l'Exportation,N/A,N/A,N/A,N/A
Chiffre d'Affaires de l'année précédente (CA (n-1)),52149,49912,70478,63707
Consommation des Tiers TTC (Toutes Taxes Comprises),N/A,N/A,N/A,N/A
Production Vendue,58763,52149,49912,70478
Résultat Net,4247,4213,-1133,-1362
Cash Flow Opérationnel (CFO),N/A,N/A,N/A,N/A
Free Cash Flow (FCF),3924,2790,-7187,1623
Funds from Operations (FFO),N/A,N/A,N/A,N/A